Energy,Loc23,Loc22,Loc20
255,1.5,2,1.410447761
256,2.420634921,2.207692308,1.485074627
257,1.849206349,2.023076923,1.805970149
258,1.706349206,2.846153846,1.328358209
259,1.03968254,0.884615385,2.246268657
260,2.69047619,1.5,2.104477612
261,2.944444444,1.646153846,1.910447761
262,1.952380952,2.138461538,0.947761194
263,1.5,0.953846154,1.843283582
264,2.246031746,2.4,2.5
265,0.5,1.5,1.395522388
266,1.238095238,0.5,2.291044776
267,1.079365079,1,1.395522388
268,0.801587302,1.5,1.843283582
269,1.349206349,0.5,2.73880597
270,2.53968254,1.169230769,1.843283582
271,1.404761905,1.023076923,0.947761194
272,1.301587302,0.5,1.858208955
273,1.5,1.884615385,2.514925373
274,1.753968254,0.5,3.052238806
275,1.325396825,1.530769231,2.350746269
276,1.793650794,2.253846154,0.947761194
277,1.555555556,1.230769231,0.947761194
278,1.317460317,1.076923077,2.097014925
279,2.563492063,0.6,2.73880597
280,2.793650794,0.5,0.5
281,2.46031746,1.238461538,3.186567164
282,2.476190476,1.553846154,0.746268657
283,0.777777778,0.5,2.320895522
284,2.5,1.061538462,1.395522388
285,1.404761905,0.5,1.843283582
286,2.031746032,0.5,3.186567164
287,0.69047619,0.915384615,0.947761194
288,2.214285714,2,2.208955224
289,1.579365079,1.853846154,1.843283582
290,1.301587302,0.6,1.843283582
291,2.5,2.292307692,0.5
292,1.238095238,2.5,0.597014925
293,1.428571429,1.5,1.470149254
294,1.452380952,1.5,1.843283582
295,1.420634921,2.276923077,2.074626866
296,1.03968254,0.5,0.947761194
297,0.976190476,1.215384615,2.298507463
298,2.555555556,1.215384615,2.291044776
299,1.5,1.469230769,2.73880597
300,1.404761905,0.5,1.895522388
301,2.896825397,1.5,2.73880597
302,1.03968254,1.792307692,1.111940299
303,1.238095238,1.669230769,3.186567164
304,0.722222222,1.592307692,1.395522388
305,1.428571429,2.261538462,3.634328358
306,1.73015873,1.269230769,0.947761194
307,2.293650794,1,1.395522388
308,0.5,0.5,2.141791045
309,2.587301587,1.953846154,1.395522388
310,1.373015873,0.5,2.73880597
311,0.817460317,1.930769231,1.395522388
312,0.666666667,0.730769231,1.156716418
313,2.452380952,1.7,0.947761194
314,1,1.6,1.843283582
315,0.5,1.346153846,1.843283582
316,2.198412698,1.5,1.395522388
317,1.5,0.523076923,1.395522388
318,2.134920635,1.730769231,0.947761194
319,0.5,0.984615385,0.604477612
320,1,1.284615385,0.5
321,1.634920635,1.107692308,2.910447761
322,1.198412698,0.969230769,1.395522388
323,0.595238095,1,1.395522388
324,0.5,2,0.947761194
325,2.880952381,1.753846154,1.843283582
326,1.087301587,1.446153846,0.5
327,1.5,1.8,0.947761194
328,1.73015873,3.007692308,0.604477612
329,0.952380952,1,1.843283582
330,0.5,2.3,0.947761194
331,0.833333333,1,1.395522388
332,0.658730159,0.538461538,1.395522388
333,1.428571429,1,0.947761194
334,1.158730159,1.007692308,0.947761194
335,1.785714286,0.946153846,1.395522388
336,0.5,0.569230769,0.947761194
337,0.841269841,1.5,0.5
338,1,2.230769231,1.843283582
339,1,0.8,1.843283582
340,1.333333333,2,1.417910448
341,2.174603175,0.5,1.074626866
342,0.5,1.5,1.052238806
343,0.80952381,2.115384615,1.843283582
344,0.857142857,1,1.402985075
345,1.333333333,0.569230769,1.574626866
346,1.174603175,0.5,1.052238806
347,2.087301587,0.5,1.395522388
348,0.5,1,2.291044776
349,1.198412698,1.338461538,0.5
350,0.761904762,2,1.395522388
351,0.793650794,1.176923077,1.604477612
352,1.904761905,1.276923077,1.798507463
353,0.5,1.538461538,0.947761194
354,1.126984127,0.5,2.291044776
355,1,1,1.395522388
356,1.595238095,0.507692308,0.947761194
357,1,0.930769231,1.328358209
358,0.523809524,1.353846154,1.425373134
359,1.317460317,0.676923077,1.843283582
360,2.563492063,0.5,1.395522388
361,1.793650794,2.492307692,1.395522388
362,1.373015873,0.992307692,0.947761194
363,1.880952381,1,1.843283582
364,2.26984127,1.5,1.395522388
365,1.468253968,2,1.843283582
366,0.801587302,1,3.186567164
